secid,date,expiration,ForwardPrice
108105,20100303,20100630,1112.068072
108105,20100303,20100630,1112.122777
108105,20100303,20100918,1107.967553
108105,20100303,20100930,1107.259222
108105,20100303,20100930,1107.309552
108105,20100303,20101218,1103.509698
108105,20100303,20101231,1102.869512
108105,20100303,20101231,1102.911717
108105,20100303,20110618,1097.16852
108105,20100303,20111217,1094.641199
108105,20100303,20121222,1100.283697
108105,20100304,20100305,1122.910801
108105,20100304,20100320,1122.146026
108105,20100304,20100331,1121.44991
108105,20100304,20100417,1120.536296
108105,20100304,20100522,1118.565668
108105,20100304,20100619,1117.018476
108105,20100304,20100630,1116.31007
108105,20100304,20100630,1116.364342
108105,20100304,20100918,1112.277645
108105,20100304,20100930,1111.583475
108105,20100304,20100930,1111.632754
108105,20100304,20101218,1107.933062
108105,20100304,20101231,1107.313676
108105,20100304,20101231,1107.35446
108105,20100304,20110618,1101.85258
108105,20100304,20111217,1099.491199
108105,20100304,20121222,1105.082792
108105,20100305,20100312,1138.279146
108105,20100305,20100320,1137.921953
108105,20100305,20100331,1137.213908
108105,20100305,20100417,1136.284976
108105,20100305,20100522,1134.285849
108105,20100305,20100619,1132.721378
108105,20100305,20100630,1132.006418
108105,20100305,20100630,1132.061161
108105,20100305,20100918,1127.937875
108105,20100305,20100930,1127.23912
108105,20100305,20100930,1127.288706
108105,20100305,20101218,1123.574549
108105,20100305,20101231,1122.954486
108105,20100305,20101231,1122.995293
108105,20100305,20110618,1117.563297
108105,20100305,20111217,1115.432758
108105,20100305,20121222,1121.74925
108105,20100308,20100312,1138.259668
108105,20100308,20100320,1137.900311
108105,20100308,20100331,1137.190342
108105,20100308,20100417,1136.260074
108105,20100308,20100522,1134.259995
108105,20100308,20100619,1132.690335
108105,20100308,20100630,1131.971449
108105,20100308,20100630,1132.026515
108105,20100308,20100918,1127.880579
108105,20100308,20100930,1127.177664
108105,20100308,20100930,1127.227553
108105,20100308,20101218,1123.486974
108105,20100308,20101231,1122.863959
108105,20100308,20101231,1122.904959
108105,20100308,20110618,1117.457912
108105,20100308,20111217,1115.363966
108105,20100308,20121222,1121.856925
108105,20100309,20100312,1140.269425
108105,20100309,20100320,1139.909017
108105,20100309,20100331,1139.197343
108105,20100309,20100417,1138.265542
108105,20100309,20100522,1136.262061
108105,20100309,20100619,1134.689511
108105,20100309,20100630,1133.969306
108105,20100309,20100630,1134.024474
108105,20100309,20100918,1129.84846
108105,20100309,20100930,1129.137391
108105,20100309,20100930,1129.187885
108105,20100309,20101218,1125.389539
108105,20100309,20101231,1124.751412
108105,20100309,20101231,1124.793448
108105,20100309,20110618,1119.137743
108105,20100309,20111217,1116.856362
108105,20100309,20121222,1123.082262
108105,20100310,20100312,1145.489029
108105,20100310,20100320,1145.126583
108105,20100310,20100331,1144.409684
108105,20100310,20100417,1143.458865
108105,20100310,20100522,1141.437249
108105,20100310,20100619,1139.858227
108105,20100310,20100630,1139.136208
108105,20100310,20100630,1139.191475
108105,20100310,20100918,1135.020298
108105,20100310,20100930,1134.311004
108105,20100310,20100930,1134.361348
108105,20100310,20101218,1130.585699
108105,20100310,20101231,1129.95281
108105,20100310,20101231,1129.994476
108105,20100310,20110618,1124.436392
108105,20100310,20111217,1122.303744
108105,20100310,20121222,1128.770892
108105,20100311,20100312,1150.179247
108105,20100311,20100320,1149.814795
108105,20100311,20100331,1149.093937
108105,20100311,20100417,1148.139163
108105,20100311,20100522,1146.113331
108105,20100311,20100619,1144.531928
108105,20100311,20100630,1143.812093
108105,20100311,20100630,1143.867156
108105,20100311,20100918,1139.72441
108105,20100311,20100930,1139.019551
108105,20100311,20100930,1139.069562
108105,20100311,20101218,1135.326968
108105,20100311,20101231,1134.701758
